Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69003,20.57859,19.88269,,,3214.85459,407.93285,12.689,1262.24701,3276.07826,92.48642,8.03093,1.01904,1.25716,7.49696,7.73246,12.76986,16713.33118,17947.0114,7038.43028,20849.38643,6.39987,6.63187,4.15315,7.14803,-694.9753,-2393.71158,2422.79411,17.74079,137.61978,0.93924,0.48169,0.26343,3.34915,2.43586,108.0,359.0,0.43937,18.91635,0.10759,2806.48237,87.29733,2806.92174,87.311,31.113431
400.0,12.64539,20.57859,19.88269,,,104.76552,29.76028,28.40655,134.53022,285.1052,36.66685,9.58006,2.72136,2.45085,2.1456,2.0582,16.623,191.4064,186.13904,64.3769,220.96117,2.53516,2.50004,1.47026,2.72387,-1.76494,-2.52266,-5.48301,2.78216,246.73552,1.53497,0.43089,0.65925,0.90881,2.40324,16.0,49.0,0.01487,1.03326,0.04994,74.99038,71.57925,75.00525,71.59345,31.661199
815.0,1.69003,17.87454,19.88269,,,159.38211,49.18175,30.85776,210.59812,492.01111,51.19634,10.00394,3.08699,1.62734,1.74857,1.76539,10.24724,1215.16385,1216.84398,75.4008,1253.70432,4.96951,4.97294,1.2379,5.0477,2.15798,-14.2046,-15.94321,1.07406,228.2463,0.97602,0.40184,0.76791,0.81231,2.42775,33.0,127.0,0.04563,3.33273,0.09268,110.15473,69.11361,110.20036,69.14224,31.9782285
679.0,1.69003,15.17049,19.88269,,,283.60818,85.37848,30.10438,273.95115,834.36264,69.47824,9.77252,2.94196,1.66796,2.51935,2.67697,8.33774,1499.62287,1491.63334,292.06274,1641.65948,4.18997,4.1788,1.84909,4.38391,6.95058,-4.70686,6.36765,0.37524,126.19106,1.02407,0.40314,0.74674,0.83503,2.54704,31.0,180.0,0.0944,6.47909,0.11045,198.1353,69.86234,198.2297,69.89562,32.843026
773.0,5.22915,20.57859,19.88269,,,277.685,87.04033,31.34499,280.57493,909.9879,70.55468,10.45478,3.27705,2.19662,2.34687,2.42302,12.84532,1810.1673,1798.43454,247.06728,1927.83456,4.55878,4.54398,1.68421,4.70461,1.20696,16.97035,2.8324,0.63084,9.58796,1.26064,0.37667,0.83217,0.69865,2.56514,28.0,120.0,0.05216,3.57496,0.05989,190.59251,68.63623,190.64467,68.65501,35.290386999999996
951.0,1.69003,20.57859,19.88269,,,310.7196,97.40209,31.34726,319.74088,1059.6366,89.45919,10.87899,3.41027,2.20898,2.29452,2.29798,10.96,2935.6375,2934.83992,254.81579,3062.6466,5.48795,5.4872,1.61686,5.60541,1.47394,-3.11546,-7.2874,0.16949,246.83705,1.2183,0.35759,0.87663,0.67149,2.56476,32.0,212.0,0.08526,6.18266,0.08745,213.23225,68.6253,213.31751,68.65274,37.113431000000006
951.0,1.69003,20.57859,19.88269,,,364.65098,120.76802,33.1188,349.59936,1399.90675,83.87001,11.5917,3.83903,1.9103,2.47694,2.4954,11.38977,3767.73895,3759.2848,360.84722,3943.93548,5.58371,5.57745,1.728,5.71278,1.4979,8.9674,-8.19503,0.20444,317.50812,0.98879,0.33366,0.99258,0.56971,2.6246,35.0,423.0,0.10686,9.89646,0.0884,243.77611,66.8519,243.88296,66.8812,39.113431000000006
655.0,7.57531,20.57859,19.88269,,,169.91196,59.55467,35.05031,202.6058,687.90064,57.31782,11.55074,4.04857,1.67936,2.04184,2.0307,14.07387,917.77133,916.43438,125.81097,980.00834,3.92452,3.92166,1.45304,4.05541,-0.71613,1.40457,0.7749,0.11601,28.89888,0.87234,0.33458,1.04758,0.54062,2.56524,26.0,228.0,0.06468,5.48738,0.10849,110.29261,64.91162,110.35729,64.94969,40.407695000000004
951.0,1.69003,20.57859,19.88269,,,382.05254,132.62105,34.71278,358.69696,1540.98892,95.00323,11.61949,4.03345,1.68763,2.54136,2.50742,10.92211,4116.20021,4127.38222,422.43369,4333.00806,5.56952,5.57708,1.78422,5.71431,-0.6478,-2.26212,-19.2002,0.29897,263.27013,0.87145,0.33216,1.04507,0.53659,2.65001,53.0,524.0,0.14749,13.6933,0.11109,249.28401,65.24862,249.43149,65.28722,42.113431000000006
835.0,1.69003,18.27219,19.88269,,,289.92892,101.98859,35.1771,294.48106,1176.1768,76.33833,11.53243,4.05678,1.66885,2.35984,2.36959,10.01382,2477.00133,2479.77563,278.40963,2617.5933,4.9268,4.92956,1.65175,5.06469,-0.10752,-9.57763,-2.41478,0.25737,194.13133,0.86826,0.33034,1.06487,0.52662,2.62462,34.0,399.0,0.11991,10.22861,0.11743,187.82042,64.78154,187.94033,64.8229,43.998111
429.0,12.06879,20.57859,19.88269,,,116.79185,39.68638,33.98044,145.53784,464.03568,36.84947,11.69257,3.97319,2.21349,2.06295,2.09482,16.28212,273.50177,274.27325,86.28189,317.02846,2.62417,2.62786,1.47391,2.82527,-0.24525,-4.0411,-0.20576,1.23737,182.82859,1.13584,0.33484,1.01483,0.53279,2.54569,23.0,118.0,0.0373,2.9851,0.09389,77.06817,65.98763,77.10547,66.01956,46.632369
951.0,1.69003,20.57859,19.88269,,,305.42737,92.15089,30.17113,317.05549,1537.43848,78.2341,16.68392,5.03373,1.25252,2.3024,2.26428,11.28289,2859.52529,2857.83231,237.52513,2977.44136,5.56871,5.56706,1.60495,5.68236,1.41943,15.15917,-20.26758,0.55294,306.7682,0.45044,0.25222,1.19624,0.5386,2.60983,395.0,456.0,0.1055,11.51281,0.11435,213.17098,69.79433,213.27648,69.82887,48.113431000000006
682.0,1.69003,15.23014,19.88269,,,236.80398,80.04779,33.8034,246.89161,912.91638,64.66849,11.40464,3.85516,2.11033,2.32897,2.38563,8.37867,1337.42515,1343.2879,225.00776,1452.86041,4.08605,4.095,1.67598,4.25874,-1.02328,0.24982,11.13592,0.5706,88.76074,1.11025,0.34113,0.99092,0.55028,2.61129,25.0,268.0,0.10711,7.78275,0.13362,156.64908,66.15137,156.75619,66.1966,49.8460085
757.0,5.54727,20.57859,19.88269,,,186.97659,66.61014,35.62485,223.58708,831.41945,58.75552,12.48188,4.44665,2.48966,1.98187,2.00991,12.93348,1292.69618,1292.11614,129.2566,1357.03446,4.40327,4.40228,1.39237,4.51152,-0.40177,1.18726,-3.48363,0.18136,288.82662,1.19677,0.31324,1.13732,0.46441,2.59405,32.0,210.0,0.06443,5.57964,0.09663,120.30202,64.34069,120.36646,64.37515,52.306293
814.0,1.69003,17.85466,19.88269,,,213.19902,74.4888,34.93862,246.65057,943.65685,63.4154,12.66844,4.42618,2.0404,2.07337,2.06544,9.72788,1676.40767,1679.79961,154.03275,1755.12001,4.74219,4.74699,1.43746,4.85224,-1.13992,-5.55707,-0.05638,0.20915,180.5372,0.96637,0.30577,1.14266,0.475,2.59456,27.0,330.0,0.08992,8.13107,0.12058,138.6203,65.0192,138.71022,65.06138,53.9772345
838.0,3.93677,20.57859,19.88269,,,219.48502,78.12703,35.59561,253.15031,1122.99836,67.19405,14.374,5.11651,0.66972,2.05006,2.04619,12.31388,1868.29876,1867.82205,163.32401,1949.72241,4.8896,4.88897,1.44569,4.99501,1.05424,-8.05422,2.13938,0.27996,165.15127,0.27955,0.26768,1.32978,0.42648,2.61857,35.0,575.0,0.1223,13.57673,0.1563,141.23568,64.34867,141.35799,64.40439,55.225768
951.0,1.69003,20.57859,19.88269,,,300.10524,102.6203,34.19477,314.36693,1320.10351,81.1457,12.86396,4.3988,2.15855,2.2656,2.24288,11.30428,3215.92536,3222.40135,258.29844,3348.31258,5.59574,5.60137,1.58586,5.70976,-1.25423,-13.3717,-4.46953,0.27299,198.42531,1.00679,0.30623,1.11664,0.48502,2.63313,38.0,411.0,0.11952,10.25701,0.11633,197.36542,65.7654,197.48494,65.80523,59.113431000000006
163.0,15.92604,19.14703,19.88269,,,56.59584,18.2808,32.30061,85.46073,233.78477,22.86511,12.78854,4.13078,3.29104,2.36879,2.39726,17.53993,40.156,41.57235,50.18353,65.95594,1.48116,1.50706,1.6558,1.89825,0.54551,-1.44917,-0.71391,81.27563,199.70597,1.54406,0.31296,1.03208,0.49788,2.52967,13.0,62.0,0.01637,1.4895,0.08947,38.29867,67.67047,38.31504,67.69939,60.7536535
951.0,1.69003,20.57859,19.88269,,,376.37162,130.14543,34.57897,355.97046,1642.83185,87.24158,12.62305,4.36492,2.43187,2.52033,2.51453,11.48741,4089.92118,4088.69476,409.29267,4293.95431,5.60328,5.60244,1.77256,5.74135,2.27838,0.92262,-6.9615,0.10933,277.51278,1.15592,0.30943,1.11751,0.47435,2.67095,39.0,542.0,0.16553,13.63338,0.12703,246.06065,65.37705,246.22619,65.42103,61.113431000000006
951.0,1.69003,20.57859,19.88269,,,529.43513,177.11132,33.45288,430.47378,2243.03323,104.92139,12.66454,4.23665,2.69846,2.98494,2.96076,10.75545,5408.63824,5407.22108,788.179,5802.01916,5.52328,5.52255,2.10846,5.72061,-7.33801,-0.07904,-25.31347,0.31398,269.91213,1.27843,0.31171,1.0732,0.49478,2.68025,91.0,525.0,0.1878,13.90477,0.10592,352.13601,66.51164,352.32381,66.54712,63.113431
840.0,1.69003,18.37161,19.88269,,,296.68287,92.51115,31.18183,299.29187,1130.64308,74.3051,12.2217,3.81095,2.85658,2.39188,2.37167,10.08124,2215.67846,2218.06916,261.43874,2347.59318,4.89131,4.89395,1.68018,5.03481,-1.54988,2.73826,-6.70277,0.21217,292.27825,1.40238,0.32399,0.96243,0.55702,2.61211,52.0,208.0,0.09152,6.42271,0.09883,204.08021,68.78732,204.17173,68.81817,65.003082
294.0,14.75296,20.57859,19.88269,,,87.94187,27.88097,31.70387,114.83958,358.12712,27.86097,12.84486,4.07232,3.32435,2.21041,2.1808,17.68138,113.28275,110.6327,67.10826,145.51186,2.0144,1.9907,1.55043,2.28303,-0.08852,-0.53142,1.06702,1.55256,115.21761,1.55285,0.32076,0.9884,0.50199,2.56261,19.0,65.0,0.01454,1.46985,0.05214,60.04636,68.2796,60.0609,68.29613,67.7665775
951.0,1.69003,20.57859,19.88269,,,284.46776,101.4684,35.66956,304.57578,1434.65532,76.27504,14.13894,5.0433,2.73925,2.17987,2.18147,11.23716,3092.19799,3094.59031,243.49741,3215.14285,5.51715,5.51929,1.54821,5.62577,1.48936,6.29901,-2.5056,0.13628,338.34674,1.16243,0.27922,1.27748,0.39675,2.65312,40.0,547.0,0.1355,13.17267,0.13336,182.86386,64.2828,182.99936,64.33044,68.11343099999999
951.0,1.69003,20.57859,19.88269,,,539.92242,187.09128,34.65151,435.21155,2521.62201,104.62671,13.47803,4.67034,2.71187,3.0172,3.01298,10.99494,5945.80703,5940.63263,848.00448,6367.22207,5.6343,5.63185,2.12781,5.83055,4.49702,-2.54059,-6.98522,0.08366,249.99312,1.20724,0.29288,1.18313,0.42808,2.70295,74.0,852.0,0.19906,19.90162,0.10628,352.63208,65.31162,352.83113,65.34849,70.11343099999999
951.0,1.69003,20.57859,19.88269,,,190.1047,58.54726,30.79737,245.04124,760.12009,53.16581,12.98302,3.99843,3.48752,1.75625,1.82141,11.05651,1778.91767,1776.49814,92.89129,1824.15355,5.50837,5.50462,1.25873,5.57797,-0.18452,-5.49265,6.37783,0.28629,130.6956,1.61173,0.31279,0.98461,0.52554,2.54165,48.0,85.0,0.04513,2.76896,0.07703,131.51231,69.17889,131.55744,69.20263,72.11343099999999
529.0,10.08052,20.57859,19.88269,,,108.09163,31.58555,29.22108,146.80029,403.36455,35.22651,12.77054,3.73169,3.83885,1.79709,1.82505,15.36922,320.09295,320.2369,51.31821,345.82403,3.18102,3.18174,1.27369,3.30641,-0.84404,2.49396,0.51249,0.54202,11.44066,1.80361,0.31863,0.91708,0.56005,2.51093,26.0,27.0,0.01999,1.104,0.06324,76.4861,70.76043,76.50608,70.77892,74.5329555
951.0,1.69003,20.57859,19.88269,,,7356.10319,2484.16002,33.77005,2172.17437,24771.66162,247.30993,9.97185,3.3675,-10.48823,11.01843,11.46525,11.02898,156288.2468,172484.16521,180436.62377,254604.51788,7.94485,8.34636,8.5366,10.14041,-1593.80464,-2240.40273,526.7095,84.68338,174.33494,-6.31071,0.50095,0.67412,1.92285,2.6134,1296.0,46382.0,13.266,1585.59426,0.53119,4858.67717,66.04961,4871.94317,66.22995,76.11343099999999
951.0,1.69003,20.57859,19.88269,,,198.62607,58.60512,29.50525,251.07395,743.50579,58.87893,12.6867,3.74324,3.47593,1.83887,1.831,11.18947,1786.71239,1786.87293,97.82469,1835.705,5.51779,5.51804,1.29111,5.59293,-0.09311,2.59315,-6.73215,0.24473,291.07034,1.64389,0.31524,0.93596,0.5687,2.52737,47.0,82.0,0.05043,2.99414,0.08597,139.97052,70.46936,140.02095,70.49475,76.11343099999999
141.0,17.79501,20.57859,19.88269,,,34.47876,10.76101,31.21056,61.40952,141.75663,15.79102,13.17317,4.11142,3.27929,2.05082,1.98206,19.18368,17.51805,18.09274,21.37636,28.49358,1.27507,1.29582,1.4085,1.62616,0.7213,-0.37337,0.04212,86.22773,213.5521,1.49362,0.3055,1.02161,0.53313,2.49574,8.0,35.0,0.01646,1.15851,0.1527,23.70129,68.74171,23.71775,68.78944,76.91868
768.0,1.69003,16.94005,19.88269,,,275.88884,80.52412,29.18716,278.99273,1026.60839,63.38354,12.74908,3.72109,3.00136,2.36142,2.39179,9.26938,1696.42735,1695.79077,227.08816,1809.65314,4.58726,4.5864,1.67835,4.73787,1.02677,-4.68354,0.5956,0.18407,172.78833,1.41251,0.31095,0.93865,0.57258,2.60429,37.0,183.0,0.15778,7.41631,0.19556,195.20695,70.75565,195.36473,70.81284,77.931504
951.0,1.69003,20.57859,19.88269,,,302.81863,89.46074,29.54268,315.27668,1151.8385,69.73725,12.87535,3.80372,3.14935,2.26218,2.27551,11.04391,2734.14165,2736.21301,226.85317,2848.60392,5.52489,5.52698,1.59142,5.63935,1.19065,7.73022,5.66358,0.21902,36.21421,1.46762,0.30868,0.95708,0.56435,2.59525,46.0,142.0,0.08086,5.10515,0.0903,213.27703,70.43062,213.35789,70.45732,78.11343099999999
951.0,1.69003,20.57859,19.88269,,,305.42737,90.16814,29.52196,317.05549,1135.87867,75.21477,12.59734,3.71898,3.15523,2.28104,2.27189,10.99095,2856.06986,2860.7096,234.37357,2975.57651,5.62464,5.6292,1.61126,5.74111,-0.98249,17.20635,-7.45854,0.40981,336.58672,1.50281,0.31729,0.93045,0.59032,2.5862,57.0,183.0,0.10317,6.26652,0.11429,215.15606,70.44426,215.25923,70.47804,80.11343099999999
951.0,1.69003,20.57859,19.88269,,,305.42737,89.14896,29.18827,317.05549,1151.36315,75.11028,12.91505,3.76968,3.31448,2.27961,2.28908,11.05511,2722.27009,2722.52352,230.99249,2837.89305,5.52233,5.52258,1.60863,5.63838,-4.3219,14.82981,-7.96056,0.38762,331.72093,1.53982,0.31123,0.93783,0.57215,2.59111,66.0,233.0,0.13566,8.3446,0.15194,216.14275,70.76732,216.27841,70.81173,84.11343099999999
