Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
666.0,7.3566,20.57859,19.88269,,,181.31386,65.20845,35.9644,210.89244,462.06484,75.39368,7.08597,2.54843,0.04779,1.99624,2.11543,14.08954,1047.93346,1056.55984,144.1116,1124.30245,4.00886,4.02533,1.48663,4.15237,-1.63941,-9.69531,34.60095,2.25544,105.8832,0.04047,0.56001,0.64221,0.92375,2.43138,30.0,568.0,0.21626,13.77513,0.33055,115.88915,63.91632,116.10541,64.0356,33.3967595
951.0,1.69003,20.57859,19.88269,,,300.10524,121.7612,40.57283,314.36693,752.97869,104.6867,6.18406,2.50905,-2.50779,2.34181,2.24416,11.26878,3793.83063,3800.47387,292.49825,3943.40137,5.58345,5.58833,1.55033,5.69245,-10.65862,40.41038,34.02199,0.86091,40.01101,-2.43315,0.54427,0.74545,0.84399,2.4883,25.0,1828.0,0.4187,38.64581,0.34269,177.92535,59.28765,178.34404,59.42717,35.113431000000006
951.0,1.69003,20.57859,19.88269,,,321.72265,125.91633,39.13816,326.03608,789.87002,101.5217,6.27298,2.45513,-2.73892,2.36326,2.44381,11.49727,3830.62944,3836.86555,327.79567,3997.64533,5.51726,5.52175,1.61395,5.63625,7.37893,-46.38379,49.74227,1.10855,133.04149,-2.61973,0.56464,0.69315,0.8787,2.48375,24.0,2052.0,0.49082,45.40406,0.38828,195.3155,60.70928,195.80632,60.86184,37.113431000000006
787.0,1.69003,17.31782,19.88269,,,244.04651,92.15895,37.76286,262.56362,660.05143,94.7131,7.1621,2.70461,-0.39511,2.28364,2.23946,10.57075,1874.35565,1881.97136,226.29631,1991.31166,4.51011,4.51926,1.56711,4.64869,6.24091,9.8133,-23.73635,0.8868,292.40138,-0.331,0.56983,0.66271,0.90375,2.48642,55.0,1022.0,0.3602,24.14411,0.38932,151.52736,62.08954,151.88756,62.23714,38.95039250000001
951.0,1.69003,20.57859,19.88269,,,324.40613,140.77087,43.3934,327.8228,746.99349,119.32945,5.30645,2.30265,-4.54262,2.30251,2.3267,11.53695,4321.9732,4325.93142,372.84421,4510.37441,5.54322,5.54576,1.62811,5.66275,-3.23938,-29.03577,49.04083,0.82662,120.67637,-5.13634,0.58756,0.73854,0.91609,2.48199,32.0,2750.0,0.62184,59.40137,0.4398,183.01342,56.41491,183.63527,56.6066,40.113431000000006
819.0,4.31454,20.57859,19.88269,,,196.28442,84.86686,43.23668,236.01371,443.31508,104.61637,5.22365,2.25853,-2.97014,1.87837,1.74863,12.5279,2112.67836,2109.69056,168.00956,2195.18924,4.99074,4.98721,1.40739,5.08726,6.11478,6.37617,42.16454,1.25868,81.24193,-3.41156,0.60068,0.7198,1.02358,2.40955,11.0,1329.0,0.35332,29.69532,0.4146,111.06424,56.58332,111.41756,56.76332,41.244656500000005
500.0,10.10041,20.02187,19.88269,,,133.53527,63.05033,47.21623,163.47934,314.19595,60.51077,4.98326,2.35291,-4.93692,2.05139,1.96717,14.72713,633.93501,623.78814,131.68243,694.70279,3.1722,3.14671,1.44578,3.32076,-0.55603,-5.6943,19.35882,2.34185,106.13112,-5.94421,0.58847,0.80236,0.94483,2.42132,17.0,1233.0,0.3167,26.33209,0.49978,70.16825,52.5466,70.48495,52.78377,43.506114
732.0,1.69003,16.22428,19.88269,,,205.27145,93.98549,45.78596,233.0466,500.60375,86.68926,5.32639,2.43874,-6.07903,2.30589,2.03962,8.55688,1599.80233,1600.26619,201.48915,1700.77884,4.128,4.1286,1.46498,4.25628,2.61247,1.25062,52.04626,2.12878,88.51628,-6.84782,0.5491,0.83384,0.93902,2.44956,22.0,2374.0,0.52071,50.68648,0.55098,110.76525,53.96038,111.28596,54.21404,44.8957155
282.0,14.99155,20.57859,19.88269,,,100.44429,47.75519,47.54396,124.71186,220.01938,26.19955,4.60723,2.19046,1.56144,2.26541,2.35992,17.51143,188.96767,188.11247,142.22336,259.65175,1.98901,1.9845,1.72555,2.33152,0.01581,4.43952,5.07337,8.12829,49.32231,2.03347,0.91631,0.51887,0.79506,2.43598,8.0,18.0,0.06071,1.87875,0.12697,52.62838,52.3956,52.68909,52.45604,48.778507000000005
951.0,1.69003,20.57859,19.88269,,,400.42585,181.19828,45.25139,367.89736,956.61709,151.67959,5.27939,2.389,-4.88539,2.58519,2.59337,11.29447,5617.71803,5578.18994,639.57987,5917.74392,5.57047,5.55084,1.87957,5.71729,25.67372,18.14961,-18.0155,0.29397,314.98512,-5.55222,0.64082,0.70615,0.94349,2.51739,123.0,3432.0,0.67419,72.97565,0.37069,218.55337,54.58024,219.22756,54.74861,49.113431000000006
809.0,1.69003,17.75524,19.88269,,,241.99185,78.61051,32.48478,263.56735,464.02804,89.35457,5.90288,1.91754,-0.59864,2.20274,2.22401,9.63959,1649.12823,1648.61864,194.64048,1746.19367,4.58056,4.57985,1.57365,4.71343,2.47972,15.21449,-7.61241,0.66918,333.47001,-0.60849,0.70428,0.46125,1.31915,2.33441,76.0,602.0,0.25981,14.95703,0.32942,163.12153,67.40786,163.38134,67.51522,50.9722635
399.0,7.27707,15.19038,19.88269,,,131.52777,59.26798,45.06119,154.0564,205.98414,22.64421,3.47547,1.56609,1.74332,2.42388,2.55611,11.60514,320.04795,320.14172,138.58631,389.38799,2.32358,2.32392,1.52901,2.56296,6.09278,15.6488,-4.9084,5.03417,344.18988,3.00964,1.21137,0.37198,1.18666,2.2852,17.0,17.0,0.02549,0.89419,0.04298,72.23431,54.91943,72.2598,54.93881,53.1233725
633.0,5.08997,17.65583,19.88269,,,354.8424,133.80955,37.70957,306.57324,596.7134,93.53571,4.45942,1.68163,-3.47417,3.19508,2.75787,11.09173,2264.15217,2222.55945,548.61748,2517.66455,4.11457,4.0766,2.02538,4.33881,-22.98151,-214.41223,-36.26788,7.08826,189.09819,-4.67438,0.6883,0.54787,1.4617,2.39265,54.0,1755.0,0.59573,51.56498,0.44323,220.43713,62.12254,221.03285,62.29043,53.13729
