Location,Height,Percent Difference,Error,GrainType,SSA_mCT,SSA_IC,Method,Air Temp,Snow Temp,Moisture,zscore
berthoud1,0.68,0.4887126672327087,0.3927433437112098,FCxr,10.546024323944204,15.7,normal,-9.8,-4.2,D,-0.11175035261675619
berthoud1,0.68,0.39389020435164446,0.3290795907311252,FCxr,10.546024323944204,14.7,normal,-9.8,-4.2,D,-0.2059410537483205
berthoud1,0.664,0.4825181222931041,0.3887328096097858,FCxr,10.657542570583317,15.8,normal,-9.8,,D,-0.10233128250359962
berthoud1,0.664,0.4825181222931041,0.3887328096097858,FCxr,10.657542570583317,15.8,normal,-9.8,,D,-0.10233128250359962
berthoud1,0.648,0.17467117093148066,0.16064145537613714,FCxr,13.70596333545256,16.1,normal,-9.8,,D,-0.07407407216413024
berthoud1,0.648,0.10900632286698779,0.10337221058569834,FCxr,13.70596333545256,15.2,normal,-9.8,,D,-0.15884570318253835
berthoud1,0.632,0.0802309870365304,0.07713661370925581,FCxr,13.885919011775897,15.0,normal,-9.8,,D,-0.17768384340885116
berthoud1,0.632,0.03702174755506921,0.03634889769783212,FCxr,13.885919011775897,14.4,normal,-9.8,,D,-0.2341982640877897
berthoud1,0.616,0.2550690497790435,0.22621839433611643,RG,12.270241229126947,15.4,normal,-9.8,,D,-0.14000756295622538
berthoud1,0.616,0.2713686478281219,0.2389472515503849,RG,12.270241229126947,15.6,normal,-9.8,,D,-0.12116942272991257
berthoud1,0.6,0.14919446757503738,0.13883756898311334,RG,13.661743458554248,15.7,normal,-9.8,-3.4,D,-0.11175035261675619
berthoud1,0.6,0.17847330751325505,0.16385172762753178,RG,13.661743458554248,16.1,normal,-9.8,-3.4,D,-0.07407407216413024
berthoud1,0.584,0.025988096489902135,0.025654737591921155,RG,14.132717572072446,14.5,normal,-9.8,,D,-0.2247791939746333
berthoud1,0.584,0.1533521360541659,0.14243108081260744,RG,14.132717572072446,16.3,normal,-9.8,,D,-0.055235931937817444
berthoud1,0.568,0.05517301525855581,0.05369184477309288,RG,14.59476292257762,15.4,normal,-9.8,,D,-0.14000756295622538
berthoud1,0.568,0.13054251634845263,0.1225439204772971,RG,14.59476292257762,16.5,normal,-9.8,,D,-0.036397791711504646
berthoud1,0.552,0.20110323130870955,0.1827294862396251,RG,13.737370419045307,16.5,normal,-9.8,,D,-0.036397791711504646
berthoud1,0.552,0.12102968255479561,0.11412351609244288,RG,13.737370419045307,15.4,normal,-9.8,,D,-0.14000756295622538
berthoud1,0.536,0.18747528314031556,0.17140790991812085,RG,13.473964660289601,16.0,normal,-9.8,,D,-0.08349314227728681
berthoud1,0.536,0.03161915222814917,0.031127046812362755,RG,13.473964660289601,13.9,normal,-9.8,,D,-0.2812936146535719
berthoud1,0.536,0.335909693532855,0.2876050341011442,RG,13.473964660289601,18.0,normal,-9.8,,D,0.10488825998584185
berthoud1,0.512,0.09246095119219758,0.08837531820081723,RG,13.638931427013203,14.9,shaved,-9.8,-3.3,D,-0.18710291352200753
berthoud1,0.512,0.129120714655023,0.1212901774580162,RG,13.638931427013203,15.4,shaved,-9.8,-3.3,D,-0.14000756295622538
