Location,Height,Percent Difference,Error,GrainType,SSA_mCT,SSA_IC,Method,Air Temp,Snow Temp,Moisture,zscore
berthoud1,0.288,0.08460804112203518,0.8502865673724234,FC,10.049713432627577,10.9,normal,-9.8,-1.7,D,-0.5638657180482649
berthoud1,0.272,-0.04401071026914914,0.4787829651606401,FC,10.87878296516064,10.4,normal,-9.8,-1.7,D,-0.610961068614047
berthoud1,0.272,-0.01643409614229777,0.17878296516064118,FC,10.87878296516064,10.7,normal,-9.8,-1.7,D,-0.5827038582745778
berthoud1,0.256,0.0045369018277498585,0.04606739539269178,FC,10.153932604607308,10.2,normal,-9.8,,D,-0.62979920884036
berthoud1,0.256,0.06362730781761765,0.6460673953926932,FC,10.153932604607308,10.8,normal,-9.8,,D,-0.5732847881614213
berthoud1,0.24,-0.11119117426689737,1.1759525871570204,MFcr,10.57595258715702,9.4,stacked,-9.8,,D,-0.7051517697456113
berthoud1,0.24,-0.1206465873066112,1.27595258715702,MFcr,10.57595258715702,9.3,stacked,-9.8,,D,-0.7145708398587678
berthoud1,0.224,-0.36403050742830223,4.922661228958958,DH,13.522661228958958,8.6,normal,-9.8,,D,-0.7805043306508629
berthoud1,0.224,-0.4084004720263276,5.522661228958958,DH,13.522661228958958,8.0,normal,-9.8,,D,-0.8370187513298014
berthoud1,0.208,-0.5665471133887217,10.456446472288508,DH,18.45644647228851,8.0,normal,-9.8,-1.0,D,-0.8370187513298014
berthoud1,0.208,-0.5448744690581576,10.056446472288508,DH,18.45644647228851,8.4,normal,-9.8,-1.0,D,-0.7993424708771757
berthoud1,0.192,-0.30253658411195283,4.164162795229588,DH,13.764162795229588,9.6,normal,-9.8,-1.0,D,-0.6863136295192985
berthoud1,0.192,-0.31706707194295375,4.364162795229587,DH,13.764162795229588,9.4,normal,-9.8,-1.0,D,-0.7051517697456113
berthoud1,0.176,-0.42714152082946566,7.754571116863966,DH,18.154571116863966,10.4,normal,-9.8,,D,-0.610961068614047
berthoud1,0.176,-0.5207818491554185,9.454571116863967,DH,18.154571116863966,8.7,normal,-9.8,,D,-0.7710852605377065
berthoud1,0.16,-0.5922978840774578,12.203277912827618,DH,20.603277912827618,8.4,normal,-9.8,,D,-0.7993424708771757
berthoud1,0.16,-0.5534691111324538,11.403277912827619,DH,20.603277912827618,9.2,normal,-9.8,,D,-0.7239899099719244
berthoud1,0.144,-0.5372592763718128,11.029855089290265,DH,20.529855089290265,9.5,normal,-9.8,,D,-0.695732699632455
berthoud1,0.144,-0.5713559612707317,11.729855089290265,DH,20.529855089290265,8.8,normal,-9.8,,D,-0.76166619042455
berthoud1,0.128,-0.3812317273846807,6.345973065919274,DH,16.645973065919275,10.3,normal,-9.8,-1.5,D,-0.6203801387272034
berthoud1,0.128,-0.37522426842725043,6.245973065919275,DH,16.645973065919275,10.4,normal,-9.8,-1.5,D,-0.610961068614047
berthoud1,0.112,-0.7671042246116089,14.49257111968774,DH,18.89257111968774,4.4,mixed,-9.8,-1.5,D,-1.176105275403433
berthoud1,0.112,-0.47069141957183847,8.89257111968774,DH,18.89257111968774,10.0,mixed,-9.8,-1.5,D,-0.6486373490666728
berthoud1,0.096,-0.5285368794456133,9.416876090164935,DH,17.816876090164936,8.4,mixed,-9.8,,D,-0.7993424708771757
berthoud1,0.096,-0.5229242232485374,9.316876090164936,DH,17.816876090164936,8.5,mixed,-9.8,,D,-0.7899234007640192
berthoud1,0.064,-0.3156484234861363,4.520124825198632,IF,14.320124825198633,9.8,mixed,-9.8,,D,-0.6674754892929856
berthoud1,0.064,-0.3086652441339541,4.4201248251986325,IF,14.320124825198633,9.9,mixed,-9.8,,D,-0.6580564191798292
berthoud1,0.048,-0.11145161727039674,1.2919405180375225,IF,11.591940518037523,10.3,normal,-9.8,-0.2,D,-0.6203801387272034
berthoud1,0.048,-0.07694488396050936,0.8919405180375239,IF,11.591940518037523,10.7,normal,-9.8,-0.2,D,-0.5827038582745778
berthoud1,0.032,0.33150198878500275,3.3859709451804747,IF,10.214029054819525,13.6,normal,-9.8,-0.2,D,-0.30955082499304126
bogus1,1.0,-0.11134414395859833,0.613945546735601,RG,5.513945546735601,4.9,shaved,4.0,-0.1,VW,-1.1290099248376508
bogus1,1.0,0.16069336299285114,0.886054453264399,RG,5.513945546735601,6.4,shaved,4.0,-0.1,VW,-0.9877238731403043
bogus1,0.9523809523809523,0.1088295797962463,0.7950000725193309,RG,7.304999927480669,8.1,crust,4.0,-0.1,VW,-0.8275996812166451
bogus1,0.9523809523809523,0.5468857100861215,3.995000072519332,RG,7.304999927480669,11.3,no crust ?,4.0,-0.1,VW,-0.5261894375956391
bogus1,0.9047619047619048,1.0907771162089723,7.356096075144381,IF,6.743903924855618,14.1,shaved,4.0,-0.1,VW,-0.2624554744272591
bogus1,0.9047619047619048,1.0611207032131005,7.156096075144382,IF,6.743903924855618,13.9,shaved,4.0,-0.1,VW,-0.2812936146535719
bogus1,0.8571428571428571,0.03563259983866625,0.4816924436513883,RG,13.518307556348612,14.0,shaved,4.0,-0.1,VW,-0.2718745445404155
bogus1,0.8571428571428571,0.02083784841239964,0.281692443651389,RG,13.518307556348612,13.8,shaved,4.0,-0.1,VW,-0.2907126847667283
bogus1,0.8095238095238095,0.1868625306285437,2.377380816796636,RG,12.722619183203363,15.1,shaved,4.0,-0.1,VW,-0.16826477329569475
bogus1,0.8095238095238095,0.21830259766506144,2.7773808167966365,RG,12.722619183203363,15.5,shaved,4.0,-0.1,VW,-0.13058849284306898
bogus1,0.7619047619047619,0.14429074528869226,1.7149086838337873,RG,11.885091316166212,13.6,shaved,4.0,-0.1,VW,-0.30955082499304126
bogus1,0.7619047619047619,0.2200158681386793,2.6149086838337876,RG,11.885091316166212,14.5,shaved,4.0,-0.1,VW,-0.2247791939746333
bogus1,0.7142857142857143,0.17610167327513587,2.380760667806335,RG,13.519239332193665,15.9,shaved,4.0,-0.1,VW,-0.09291221239044321
bogus1,0.7142857142857143,0.19829227088410065,2.680760667806334,RG,13.519239332193665,16.2,shaved,4.0,-0.1,VW,-0.06465500205097402
bogus1,0.6666666666666666,0.47516721538690526,5.024927671058329,RG,10.57507232894167,15.6,shaved,4.0,-0.1,VW,-0.12116942272991257
bogus1,0.6666666666666666,0.5035358156828074,5.3249276710583295,RG,10.57507232894167,15.9,shaved,4.0,-0.1,VW,-0.09291221239044321
bogus1,0.6190476190476191,0.07409536496493699,1.0140643936398792,RG,13.68593560636012,14.7,shaved,4.0,-0.1,VW,-0.2059410537483205
bogus1,0.6190476190476191,0.17639016162826449,2.4140643936398813,RG,13.68593560636012,16.1,shaved,4.0,-0.1,VW,-0.07407407216413024
bogus1,0.5714285714285714,0.13802019313782146,1.9162393292554523,RG,13.883760670744548,15.8,shaved,4.0,-0.1,VW,-0.10233128250359962
bogus1,0.5714285714285714,0.13081753368758198,1.8162393292554508,RG,13.883760670744548,15.7,shaved,4.0,-0.1,VW,-0.11175035261675619
bogus1,0.5238095238095238,0.08353967666865576,1.164192825476432,RG,13.935807174523568,15.1,shaved,4.0,-0.1,VW,-0.16826477329569475
bogus1,0.5238095238095238,0.11941847390933973,1.664192825476432,RG,13.935807174523568,15.6,shaved,4.0,-0.1,VW,-0.12116942272991257
bogus1,0.47619047619047616,1.538824951234733,9.576648526982602,RG,6.223351473017399,15.8,shaved,4.0,-0.1,W,-0.10233128250359962
