Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Surface convexity index,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Structure model index,Structure thickness,Structure linear density,Structure separation,Fractal dimension,Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
489.0,14.4643,26.59244,24.85275,,,1849.72636,535.49225,28.94981,865.14267,6648.30674,198.34313,12.41532,3.59421,3.73137,6.9995,6.98972,20.4819,13188.98334,13223.92431,13039.24719,19726.07742,4.95727,4.96383,4.92905,6.06257,14.45077,9.45139,-36.79274,10.93487,282.81115,1.80328,0.3228,0.89683,0.56787,2.74194,121.0,353.0,0.22687,12.14886,0.04235,1314.00724,71.03793,1314.23411,71.05019,89.05283700000001
975.0,1.86396,26.07053,24.85275,,,1838.65379,246.40904,13.4016,994.8546,2747.7965,32.28534,11.15136,1.49446,3.13125,4.12435,5.34029,15.7219,14348.85012,14397.09801,1250.01022,14997.97917,7.62448,7.63729,2.25039,7.79504,-10.48918,580.89491,-221.79325,2.71186,339.13837,1.68477,0.35737,0.37501,2.27859,2.58064,142.0,145.0,0.09879,5.58812,0.04008,1592.14596,86.59303,1592.24475,86.5984,90.3967245
887.0,1.71484,23.73437,24.85275,,,219.09895,91.11234,41.58502,280.7318,531.8086,32.81638,5.83684,2.42725,2.92218,1.85646,1.83063,15.72023,3435.51091,3436.26534,138.27409,3505.02517,6.13801,6.13868,1.23141,6.19979,-2.19744,25.29121,22.54234,0.58818,41.7001,3.00387,1.13561,0.36619,0.64505,2.40221,41.0,0.0,0.0,0.0,0.0,127.9866,58.41498,127.9866,58.41498,94.2724605
1119.0,0.02485,27.81022,24.85275,,,4547.62265,1775.54134,39.04329,1750.66464,9246.3343,72.44931,5.20761,2.03322,-0.3142,6.96885,5.97191,15.5559,112121.51203,112114.08205,31258.0503,127746.82219,7.94705,7.94679,4.19607,8.48275,-455.60247,1916.80696,-1262.86001,1.63317,326.49265,-0.362,0.80735,0.4836,1.34699,2.67757,441.0,13051.0,7.03079,300.53419,0.39442,2765.05051,60.80211,2772.0813,60.95671,94.3917535
143.0,23.65982,27.18891,24.85275,,,172.47303,58.46891,33.90032,189.3616,652.09371,30.6189,11.15283,3.78084,2.60613,4.06513,4.19778,25.52663,250.96905,242.31494,365.00376,429.14388,2.07036,2.03435,2.49681,2.70731,0.1411,-2.26817,1.85416,89.14753,89.29172,1.40205,0.36891,0.91892,0.52642,2.59374,42.0,101.0,0.06065,3.02099,0.10363,113.94346,66.06451,114.00412,66.09968,95.54243650000001
1113.0,0.17397,27.81022,24.85275,,,1780.5489,834.90127,46.89011,958.86376,4758.25463,102.40735,5.69918,2.67235,1.30793,4.4654,4.41505,14.12539,53427.5908,53449.04174,8427.51831,57652.07542,7.99812,7.99972,3.17654,8.30831,-4.88309,-543.23725,-176.64806,0.72708,198.00026,1.37696,0.69926,0.67056,0.62142,2.68067,59.0,295.0,0.32365,13.76479,0.03875,945.32398,53.09172,945.64763,53.10989,97.39920950000001
752.0,7.00847,25.67289,24.85275,,,1270.02798,533.64999,42.01876,711.95822,3854.44132,82.33642,7.22279,3.03493,1.64004,4.79169,4.73424,15.87967,18529.88471,18496.20444,5756.87878,21391.48396,5.89094,5.88559,3.28354,6.32949,-64.13123,-33.08788,-88.93335,0.42522,249.86019,1.36239,0.53047,0.7921,0.57862,2.70825,46.0,200.0,0.26984,10.77071,0.05054,736.10815,57.95999,736.37799,57.98124,99.634068
951.0,2.11248,25.72259,24.85275,,,4976.98421,1291.90962,25.95768,1794.12188,7428.99318,94.32163,5.7504,1.49267,0.24186,6.13202,6.25736,16.66539,58196.5822,56227.16066,24394.00687,69408.87487,6.71151,6.59697,4.34523,7.32958,352.60974,3695.16212,-30.98469,6.16646,0.11701,0.25236,0.64945,0.39969,3.33925,2.71584,43.0,1734.0,3.44021,120.90637,0.26558,3681.63438,73.9732,3685.07459,74.04232,101.3917535
875.0,1.66513,23.38644,24.85275,,,1323.93957,670.25085,50.62549,756.48265,3793.01273,88.42896,5.65909,2.86494,0.79502,4.48683,4.31699,13.41487,27765.95344,27751.41473,6234.1498,30875.75898,6.43564,6.43395,3.04947,6.78647,3.07679,-296.66434,-405.90639,1.33764,233.85403,0.84291,0.68323,0.74098,0.54248,2.6942,50.0,386.0,1.00518,28.97282,0.14975,652.68353,49.29859,653.68871,49.37451,102.2525785
744.0,2.17709,24.33569,29.82315,,,3155.34437,832.90404,26.39661,1274.66299,3656.58066,101.66673,4.39016,1.15885,1.65781,7.87988,5.09809,13.72055,36746.34262,36188.27551,10668.28155,41801.44984,6.64049,6.58987,3.578,7.08254,490.09442,-779.49699,-1079.46405,3.01075,234.40648,2.26571,1.29999,0.20305,2.21777,2.53464,158.0,463.0,0.82242,29.53172,0.09864,2321.61791,73.57732,2322.44034,73.60339,105.325639
978.0,3.42968,27.71081,24.85275,,,5448.91375,634.76146,11.64932,1905.0059,3423.3206,27.2505,5.39308,0.62826,1.58505,7.93453,8.89814,16.77215,32153.82845,29612.95751,10320.10295,36043.44445,7.11575,6.82881,4.03131,7.53386,364.9943,-2100.56023,7091.14093,18.49675,104.10944,1.76343,0.77647,0.15003,5.06146,2.50391,264.0,465.0,1.21531,28.19985,0.19109,4812.93698,88.32838,4814.15229,88.35068,105.5570245
