Number of layers,Lower vertical position,Upper vertical position,Pixel size,Lower grey threshold,Upper grey threshold,Total VOI volume,Object volume,Percent object volume,Total VOI surface,Object surface,Intersection surface,Object surface / volume ratio,Object surface density,Centroid (x),Centroid (y),Centroid (z),Moment of inertia (x),Moment of inertia (y),Moment of inertia (z),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Radius of gyration (z),Polar radius of gyration,Product of inertia (xy),Product of inertia (xz),Product of inertia (yz),Total orientation (theta),Total orientation (phi),Number of objects,Number of closed pores,Volume of closed pores,Surface of closed pores,Closed porosity (percent),Volume of open pore space,Open porosity (percent),Total volume of pore space,Total porosity (percent),Height
951.0,1.69002883,20.57858634,19.88269212,,,298.99117252,79.59125355,26.61993425,331.76026107,761.26660183,13.03495049,9.56470175,2.54611732,1.92798518,2.00088814,11.38561457,2458.41366192,2462.44026195,154.32919215,2537.59155801,5.55514431,5.55969179,1.39184831,5.6438924,0.01003685,13.45703009,-15.26334441,0.50545624,311.45079742,30.0,94.0,0.02918988,2.27748314,0.03666129,219.37072909,73.37030295,219.39991897,73.38006575,81.1134307585
860.0,3.49935381,20.57858634,19.88269212,,,270.38093144,79.4916665,29.39987893,303.02300627,798.70241127,12.93244645,10.04762444,2.95398942,2.04411583,1.97600509,11.27286929,1936.49627563,1934.72134141,153.21890226,2012.21825965,4.93251165,4.93025064,1.38744559,5.02802386,-2.16359447,-37.52382812,-19.86787257,1.36208903,207.88452491,56.0,78.0,0.01583965,1.61384624,0.0199222,190.87342529,70.5942628,190.88926494,70.60012107,81.20389700749999
951.0,1.69002883,20.57858634,19.88269212,,,398.86322701,94.70599106,23.74397654,388.91321175,1157.75465165,12.9769458,12.22472453,2.90263572,2.36959192,2.33146619,10.86967834,2974.51424298,2967.60851318,240.97808528,3091.55042072,5.59897198,5.59246882,1.59363567,5.70805875,1.21404097,-6.04029668,-12.44048772,0.29055322,244.14292626,76.0,93.0,0.02589783,2.17361806,0.02733803,304.13133812,76.24953055,304.15723595,76.25602346,83.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,482.24568868,95.90965454,19.88813105,432.29899234,2493.9090258,11.33208109,26.00269011,5.17144909,2.52197523,2.54696668,10.99425979,3096.55073918,3096.46938697,305.18277689,3249.10145152,5.66130374,5.66122938,1.77728619,5.79907856,-0.46985722,1.01141628,0.00014351,0.02076039,359.9984853,1406.0,68.0,0.01014366,1.22564381,0.01057515,386.32589048,80.10976553,386.33603414,80.11186895,85.1134307585
823.0,4.23501342,20.57858634,19.88269212,,,536.54472219,102.17847936,19.04379544,439.73352382,2140.2709469,12.54337409,20.94639654,3.98898891,2.86536924,2.86902881,12.27610817,2447.61978949,2448.34006166,420.80939374,2658.38462244,4.88144783,4.88216602,2.02404138,5.0872793,2.41134373,1.69522432,-4.16732417,0.12703508,292.09425659,236.0,4.0,0.00044278,0.05659572,0.00043334,434.36580004,80.95612203,434.36624283,80.95620456,86.240679988
951.0,1.69002883,20.57858634,19.88269212,,,732.30345336,135.50716828,18.50423723,547.41808155,2834.80903216,13.74644481,20.91999315,3.87108516,3.1235649,3.08924065,11.16433656,4445.71343791,4446.02425148,656.49931329,4774.11850134,5.71291623,5.71311593,2.19535249,5.92016376,-1.44365664,5.0509148,14.25262854,0.22856688,70.50192913,250.0,7.0,0.00168565,0.13857922,0.00124394,596.79459943,81.49553258,596.79628508,81.49576277,88.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,926.16498743,167.84709524,18.12280722,626.53558782,3438.82472744,16.96071579,20.48784176,3.71297207,3.53088101,3.47285034,11.26757156,5639.28037705,5651.73923685,1030.19074451,6160.6051792,5.78192139,5.78830487,2.4712641,6.04327041,-7.84102259,-9.62630888,0.86972208,0.12018618,174.75565206,315.0,28.0,0.00576601,0.54787183,0.00343515,758.31212619,81.87657021,758.31789219,81.87719278,90.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,663.79600352,150.68199852,22.70004606,517.62869219,3123.56454028,18.62676411,20.72951362,4.70560914,2.94142803,2.93207746,10.42565871,4939.58398351,4936.53334596,664.52227572,5270.3198026,5.71212337,5.71035922,2.09511161,5.90025628,-0.78049437,-32.75310386,-6.38401958,0.44717328,191.02741149,240.0,87.0,0.02265006,1.94382058,0.01502944,513.09135494,77.29654174,513.114005,77.29995394,93.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,4071.15639416,819.22741141,20.12272023,1539.30100088,16327.00970033,77.97490727,19.92976489,4.01041083,7.46185085,7.33168138,10.9342855,35516.92075776,35681.96636396,22081.43917737,46640.16314955,6.56950524,6.58475165,5.17998734,7.52826747,200.56603545,101.09050079,-374.04482943,1.62009304,284.55872577,849.0,398.0,0.12462801,9.70311682,0.01521056,3251.80435474,79.87421852,3251.92898275,79.87727977,95.1134307585
951.0,1.69002883,20.57858634,19.88269212,,,654.91582389,126.63439595,19.33598049,513.68365547,2549.07718844,13.99705874,20.12942194,3.8922211,2.91812009,2.97419452,11.45716683,4211.32634437,4225.70804252,542.39526996,4489.71482842,5.75349788,5.76331361,2.06481171,5.94062156,-0.92938786,-5.45338264,-58.78711239,0.91806283,264.69373962,231.0,65.0,0.02083733,1.62870188,0.01645201,528.2605906,80.66083783,528.28142793,80.66401951,97.1134307585
833.0,4.0361865,20.57858634,19.88269212,,,543.06412657,86.89227008,16.00037009,444.2829954,1562.53269281,10.79961119,17.98241307,2.87725264,2.81536557,2.82378548,12.36335039,1917.1363841,1914.88957943,348.24017551,2090.13306952,4.68872168,4.68597338,1.99833082,4.89570136,4.54233447,7.7774411,-24.34320248,0.93260675,287.55903857,124.0,92.0,0.03457271,2.6132353,0.03977219,456.13728378,83.99326368,456.17185649,83.99962991,101.230738642
814.0,1.69002883,17.85465752,19.88269212,,,1928.38153916,537.18782177,27.85692618,944.06920016,4796.13057426,56.70300763,8.92821911,2.48712741,5.44704216,5.28118092,9.75342111,15271.81421376,15071.64341824,8070.93461002,19207.19612101,5.32916555,5.29412512,3.87414445,5.97648565,98.28022017,60.21158752,408.51215542,3.37588421,81.09991295,229.0,636.0,0.24502964,17.09412289,0.0455926,1390.94868775,72.13036733,1391.19371739,72.14307382,102.9772343175
